team,id,win,champions
blue,4217286288,True,"['가렌', '자크', '제드', '아펠리오스', '노틸러스']"
red,4217286288,False,"['마오카이', '리 신', '탈리야', '카이사', '레오나']"
blue,4217396723,True,"['에코', '자크', '레넥톤', '자야', '쓰레쉬']"
red,4217396723,False,"['루시안', '세주아니', '카사딘', '탐 켄치', '세나']"
blue,4220173259,True,"['잭스', '자크', '럼블', '아펠리오스', '쓰레쉬']"
red,4220173259,False,"['레넥톤', '트런들', '조이', '미스 포츈', '세나']"
blue,4220017511,True,"['오른', '자르반 4세', '피즈', '애쉬', '룰루']"
red,4220017511,False,"['뽀삐', '람머스', '르블랑', '아펠리오스', '세나']"
blue,4366704528,True,"['모데카이저', '렉사이', '아칼리', '바루스', '모르가나']"
red,4366704528,False,"['사일러스', '자르반 4세', '아지르', '애쉬', '갈리오']"
blue,4219947213,True,"['럼블', '자르반 4세', '이렐리아', '미스 포츈', '노틸러스']"
red,4219947213,False,"['사일러스', '자크', '클레드', '드레이븐', '샤코']"
blue,4462063435,True,"['세트', '트런들', '에코', '애쉬', '바드']"
red,4462063435,False,"['오공', '니달리', '야스오', '미스 포츈', '카르마']"
blue,4217436554,False,"['아트록스', '자르반 4세', '다이애나', '카이사', '룰루']"
red,4217436554,True,"['카밀', '세주아니', '갈리오', '이즈리얼', '유미']"
blue,4369548184,False,"['레넥톤', '엘리스', '아트록스', '바루스', '타릭']"
red,4369548184,True,"['갈리오', '카직스', '코르키', '야스오', '노틸러스']"
blue,4369494354,False,"['세트', '트런들', '갈리오', '바루스', '잔나']"
red,4369494354,True,"['오른', '오공', '아트록스', '카이사', '브라움']"
blue,4169247296,False,"['티모', '리 신', '오른', '애쉬', '브라움']"
red,4169247296,True,"['아트록스', '카밀', '사일러스', '미스 포츈', '레오나']"
blue,4504756229,False,"['다리우스', '탈리야', '제드', '드레이븐', '쓰레쉬']"
red,4504756229,True,"['오공', '그레이브즈', '조이', '바루스', '카르마']"
blue,4502271742,True,"['아트록스', '세트', '코르키', '애쉬', '모르가나']"
red,4502271742,False,"['퀸', '올라프', '갈리오', '자야', '라칸']"
blue,4419579380,False,"['이렐리아', '니달리', '카사딘', '미스 포츈', '유미']"
red,4419579380,True,"['세트', '트런들', '조이', '이즈리얼', '레오나']"
blue,4366597100,False,"['아트록스', '자크', '사일러스', '시비르', '레오나']"
red,4366597100,True,"['카밀', '트런들', '오른', '칼리스타', '쓰레쉬']"
blue,4171781999,True,"['세트', '렉사이', '아지르', '이즈리얼', '볼리베어']"
red,4171781999,False,"['오른', '세주아니', '조이', '미스 포츈', '유미']"
blue,4292338942,False,"['우르곳', '엘리스', '신드라', '카이사', '룰루']"
red,4292338942,True,"['오공', '세트', '이렐리아', '칼리스타', '노틸러스']"
blue,4369484217,False,"['모데카이저', '엘리스', '루시안', '바루스', '브라움']"
red,4369484217,True,"['케넨', '세트', '카시오페아', '이즈리얼', '쓰레쉬']"
blue,4256671892,False,"['케일', '세주아니', '아지르', '칼리스타', '세트']"
red,4256671892,True,"['오른', '자르반 4세', '카사딘', '미스 포츈', '타릭']"
blue,4217478176,False,"['이렐리아', '올라프', '카시오페아', '카이사', '블리츠크랭크']"
red,4217478176,True,"['세트', '리 신', '신드라', '바루스', '브라움']"
blue,4462073587,True,"['이렐리아', '트런들', '오리아나', '칼리스타', '쓰레쉬']"
red,4462073587,False,"['잭스', '렉사이', '아트록스', '카이사', '모르가나']"
blue,4504716321,True,"['잭스', '킨드레드', '카르마', '아펠리오스', '룰루']"
red,4504716321,False,"['카밀', '올라프', '아리', '이즈리얼', '쓰레쉬']"
blue,4169344420,False,"['쉔', '렉사이', '갈리오', '애쉬', '알리스타']"
